idx,url,title,sizeMB,dlMs,uploadMs,asrMs,totalMs,segments,ok,error,firstText
1,https://www.xiaoyuzhoufm.com/episode/6a2fd7d943a22a6955842cbd,"""毕业季｜邪修人生！Vibe Coding时代，选专业不如这3个人生开挂のSkill！""",40.1,1642,12016,16572,28807,1481,true,"","如果把我们人生比作一个 web coding 的话"
2,https://www.xiaoyuzhoufm.com/episode/6a1ed39db30e1571ae9f85ee,"""“悲观者正确，乐观者成功”，和好友亚婷聊聊AI行业的种种""",53.7,1771,11097,18637,30078,1654,true,"","VC 投资不是一个赌正确性的问题"
3,https://www.xiaoyuzhoufm.com/episode/6a2a808262c3d8534722ac02,"""泡沫的四个必要不充分条件""",65.5,2746,17409,36350,54009,2030,true,"","there's something there"
4,https://www.xiaoyuzhoufm.com/episode/6a09d58b1b7bd502955258ab,"""141. Freda的投资札记第2集：Tokenmaxxing、把电机塞进蒸汽机、接力赛变篮球赛、孤独、人的连接""",77.6,2475,19523,30915,50630,2275,true,"","hello 大家好"
5,https://www.xiaoyuzhoufm.com/episode/6a311e554233e62bc54ad7c9,"""#586.All-in：Anthropic 的Fable风波、AI 国有化、通胀升温与加州选举乱象""",91.4,4009,17696,32889,50792,2623,true,"","欢迎收听跨国串门计划"
6,https://www.xiaoyuzhoufm.com/episode/69f3857a5c60a99573fea0c2,"""139. 【Agent的综述】和苏煜聊Agent技术史、OpenClaw Moment、边界的消弭和社会的辐射""",127.5,4450,29131,46438,75773,3132,true,"","hello 大家好，我是小俊"
7,https://www.xiaoyuzhoufm.com/episode/69c953b4b977fb2c478df5c3,"""134. 【数据的综述】和谢晨聊，新时代的石油、历史、版图、数据金字塔、定价与Recipe""",146.7,5346,30007,40702,70909,4156,true,"","hello 大家好"
8,https://www.xiaoyuzhoufm.com/episode/698ebb0b66e2c30377510cf6,"""132. 对星海图创始人高继扬的3小时访谈：鲶鱼、曾国藩、Waymo与Momenta的两面、一只狼与许华哲的离开""",171.1,7370,35846,53431,89466,5399,true,"","就是讲曾国藩从20多岁是一个儒家清流"
9,https://www.xiaoyuzhoufm.com/episode/6a2543dcb30e1571aea20d0b,"""144. 对阳萌的4小时访谈：消费电子死与生、第三类公司、端侧模型、产品方法、游戏模式""",202.5,7309,43714,73616,117497,5800,true,"","hello 大家好"
10,https://www.xiaoyuzhoufm.com/episode/69e4e6951d989496e7fecc7b,"""137. 对洪乐潼的4小时访谈：AI for Math、把数学变成Lean、数学天书中的证明、直觉、被创造与被发现的""",244.8,9831,35515,96465,132148,7454,true,"","Young heart's kicking and gear"